timestamp_utc,elapsed_seconds,plugin_pending,plugin_decode_seconds,prom_pending,prom_decode_seconds,deployment_desired,deployment_current,deployment_ready,deployment_available,pod_count,pod_phases,hpa_current,hpa_desired,scaledobject_ready,scaledobject_active,registered_worker_count
2026-08-26T18:48:20.827696+00:00,49.2,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:21.101030+00:00,49.469,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:21.372881+00:00,49.743,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:21.643844+00:00,50.015,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:21.917893+00:00,50.286,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:22.188054+00:00,50.56,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:22.457717+00:00,50.83,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:22.734391+00:00,51.099,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:23.006226+00:00,51.376,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:23.277333+00:00,51.648,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:23.551484+00:00,51.919,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:23.823050+00:00,52.193,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:24.092726+00:00,52.465,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
2026-08-26T18:48:24.362996+00:00,52.734,0.0,0.0,0.0,0.0,0,0,0,0,3,Running:3,0,0,True,False,3
