LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
2m11s       Normal    Created                        pod/statepool-worker-58585d67f7-kfhs2               Created container: worker
2m11s       Normal    Pulled                         pod/statepool-worker-58585d67f7-c2qp4               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
2m11s       Normal    Created                        pod/statepool-worker-58585d67f7-c2qp4               Created container: worker
2m11s       Normal    Started                        pod/statepool-worker-58585d67f7-c2qp4               Started container worker
2m11s       Normal    Pulled                         pod/statepool-worker-58585d67f7-kfhs2               Container image "rwkv-statepool-worker-keda-sim:20260827" already present on machine
2m10s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-c2qp4               Readiness probe failed: Get "http://10.244.0.20:18118/ready": dial tcp 10.244.0.20:18118: connect: connection refused
2m10s       Warning   Unhealthy                      pod/statepool-worker-58585d67f7-kfhs2               Readiness probe failed: Get "http://10.244.0.19:18118/ready": dial tcp 10.244.0.19:18118: connect: connection refused
108s        Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled down replica set statepool-worker-58585d67f7 from 3 to 0
108s        Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-c2qp4
108s        Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-xkd9b
108s        Normal    Killing                        pod/statepool-worker-58585d67f7-c2qp4               Stopping container worker
108s        Normal    Killing                        pod/statepool-worker-58585d67f7-xkd9b               Stopping container worker
108s        Normal    Killing                        pod/statepool-worker-58585d67f7-kfhs2               Stopping container worker
108s        Normal    SuccessfulDelete               replicaset/statepool-worker-58585d67f7              Deleted pod: statepool-worker-58585d67f7-kfhs2
80s         Warning   Unhealthy                      pod/statepool-worker-58585d67f7-c2qp4               Readiness probe failed: HTTP probe failed with statuscode: 503
80s         Warning   Unhealthy                      pod/statepool-worker-58585d67f7-kfhs2               Readiness probe failed: HTTP probe failed with statuscode: 503
78s         Warning   Unhealthy                      pod/statepool-worker-58585d67f7-xkd9b               Readiness probe failed: HTTP probe failed with statuscode: 503
